rooms,garages,useful_area,value,interior_quality,time_on_market,has_outlier
3.0,1.0,105.0,1038640.0,2,31.7870789438591,0
3.0,2.0,76.0,606405.0,4,209.46884172046086,0
3.0,1.0,123.0,1534500.0,1,38.0,0
3.0,2.0,180.0,1131950.0,5,154.0,0
3.0,1.0,67.0,452672.0,4,15.0,0
3.0,3.0,198.0,3116290.0,3,306.3557294709182,0
4.0,2.0,245.0,1202560.0,3,24.824464122611424,0
2.0,2.0,66.0,419282.0,5,24.0,0
2.0,1.0,114.0,1830260.0,1,251.39533835163672,0
2.0,1.0,56.0,274005.0,5,93.0,0
1.0,1.0,39.0,496986.0,3,27.0,0
2.0,2.0,75.0,638146.0,5,42.0,0
4.0,5.0,285.0,1722240.0,1,8.0,0
3.0,2.0,109.0,909873.0,2,129.0,0
2.0,1.0,75.0,499316.0,2,13.311029502411987,0
3.0,2.0,120.0,1225130.0,4,88.05712880639294,0
2.0,1.0,61.0,543174.0,1,15.70965873130458,0
4.0,4.0,317.0,2895580.0,1,126.0,0
3.0,3.0,189.0,1825480.0,2,123.0,0
3.0,1.0,219.0,1754780.0,3,63.0,0
3.0,1.0,4.67,836175.0,3,78.37938129589526,1
3.0,1.0,127.0,946535.0,4,18.982347272241377,0
1.0,1.0,2.35,380752.0,4,182.98544542207202,1
3.0,3.0,128.0,777381.0,3,58.0,0
4.0,4.0,188.0,2339150.0,1,30.0,0
2.0,1.0,80.0,735548.0,5,32.0,0
4.0,2.0,118.0,867852.0,1,107.95847076865505,0
3.0,1.0,171.0,1430980.0,5,49.16379301688058,0
3.0,1.0,110.0,1248170.0,4,211.38357838409047,0
4.0,4.0,115.0,1439780.0,2,35.56846172772961,0
4.0,3.0,220.0,2105350.0,4,304.1819554654633,0
4.0,3.0,185.0,2100340.0,3,41.0,0
3.0,3.0,280.0,2964680.0,3,66.55183241522157,0
2.0,1.0,95.0,861728.0,1,337.63963620233915,0
4.0,3.0,114.0,689286.0,2,124.0,0
4.0,3.0,279.0,3425230.0,5,327.49167020983674,0
2.0,1.0,70.0,692770.0,1,27.0,0
4.0,4.0,394.0,4276940.0,5,243.0,0
3.0,2.0,165.0,2062130.0,1,22.69753375017887,0
4.0,2.0,133.0,1289310.0,5,19.99195254342069,0
2.0,10.0,91.0,1146310.0,3,330.76222890483587,1
2.0,1.0,56.0,443869.0,2,37.25212106475038,0
3.0,1.0,99.0,575610.0,4,42.258769565147546,0
3.0,1.0,187.0,2087210.0,5,121.42384983844283,0
3.0,2.0,116.0,2077880.0,2,65.23110876129657,0
4.0,2.0,136.0,1091790.0,2,17.0,0
3.0,2.0,70.0,403652.0,2,13.0,0
