rooms,garages,useful_area,latitude,longitude,value,interior_quality,time_on_market,sold
3.0,2.0,98,-23.6440651,-46.7148076,677757,4,57.73115481036628,0
3.0,2.0,100,-23.6194287,-46.6651262,959215,4,82.0,1
3.0,2.0,121,-23.6053831,-46.7041965,792594,3,102.0,1
4.0,4.0,280,-23.6145232,-46.7312046,1509260,3,102.35664531705625,0
1.0,3.0,42,-23.606876,-46.6643625,488204,2,13.0,1
1.0,1.0,40,-23.6188346,-46.6853719,579142,2,93.0,1
1.0,1.0,70,-23.6335977,-46.69453,499667,4,30.0,1
3.0,1.0,127,-23.5485702,-46.6527802,1423210,5,100.27542458703414,0
4.0,3.0,220,-23.6187745,-46.6733047,2252300,4,166.0,1
2.0,1.0,90,-23.5976517,-46.6307394,809176,3,348.9791039502345,0
2.0,1.0,100,-23.5474253,-46.65488,1120640,5,147.31286387600053,0
2.0,1.0,59,-23.534479,-46.653484,368825,5,3.0,1
3.0,2.0,82,-23.605538,-46.624783,572943,2,38.06770086677128,0
4.0,2.0,132,-23.5801354,-46.5877072,994341,3,36.64579320482213,0
3.0,2.0,154,-23.55068,-46.719099,1778800,1,49.915099987665734,0
3.0,1.0,116,-23.5691506,-46.6878472,1030130,5,85.0,1
3.0,2.0,88,-23.5463906,-46.5697004,619569,2,80.0,1
2.0,2.0,59,-23.5915056,-46.6343499,738655,5,91.12424898149759,0
2.0,1.0,84,-23.5527405,-46.6559777,761949,4,170.0,1
1.0,1.0,30,-23.635808,-46.635337,222449,5,34.0,1
2.0,1.0,60,-23.6140174,-46.6310829,487397,4,5.0,1
4.0,3.0,160,-23.5321922,-46.7269211,1776920,2,90.0,1
2.0,1.0,70,-23.5988447,-46.6812503,675106,4,20.91923699676213,0
3.0,1.0,240,-23.5670742,-46.6652231,2921180,2,16.219535672790784,0
2.0,1.0,60,-23.5864908,-46.6412551,478419,2,44.0,1
2.0,1.0,59,-23.4926676,-46.6941298,322975,2,10.0,1
3.0,1.0,115,-23.5638777,-46.6446541,1134580,5,149.71281790699987,0
3.0,2.0,200,-23.593195,-46.6740907,1792110,2,18.0,1
2.0,1.0,66,-23.50414,-46.6619784,489126,2,96.0,1
2.0,2.0,101,-23.5732221,-46.6498136,1255270,1,179.09573007732658,0
4.0,3.0,145,-23.5625555,-46.684531,1284340,4,24.0,1
4.0,2.0,168,-23.5735235,-46.6461228,1672650,5,89.0,1
2.0,3.0,135,-23.6154944,-46.6342287,1223550,5,249.12262438284165,0
2.0,4.0,355,-23.5945466,-46.6675934,4962650,1,306.8455558406046,0
1.0,1.0,55,-23.6068064,-46.6387132,489692,5,171.0,1
3.0,1.0,109,-23.5657927,-46.6583801,1285160,5,68.38044655467749,0
4.0,6.0,348,-23.5527695,-46.6875399,4227070,4,35.624864867263696,0
3.0,1.0,68,-23.6450796,-46.6678501,488727,2,84.0,1
2.0,2.0,90,-23.5207191,-46.7056165,791860,2,10.720065700529663,0
4.0,2.0,238,-23.5671414,-46.6675979,3491490,4,95.78063922527117,0
2.0,2.0,163,-23.6049194,-46.7013241,2116770,5,149.44127686991055,0
2.0,1.0,101,-23.49717,-46.6243876,450923,2,83.9301876596925,0
3.0,2.0,86,-23.588123,-46.629682,940231,5,82.82029366550307,0
1.0,1.0,58,-23.563509,-46.6795132,550290,2,181.92001006596442,0
4.0,4.0,186,-23.6264887,-46.7235274,1771940,5,195.8092739673222,0
3.0,1.0,100,-23.6049048,-46.6580394,1190840,4,335.93706480864273,0
3.0,1.0,136,-23.5714811,-46.6529069,1843360,4,151.92915248954822,0
3.0,2.0,105,-23.6325722,-46.7047272,919942,4,159.0,1
3.0,3.0,200,-23.5724452,-46.6605933,2504140,4,68.7978974135818,0
3.0,1.0,141,-23.563234,-46.678441,1259010,4,90.67952907845645,0
4.0,2.0,203,-23.5746628,-46.6486199,1885500,3,163.56086122589085,0
2.0,1.0,100,-23.6104798,-46.6609109,1037550,4,25.0,1
3.0,3.0,300,-23.5861269,-46.6414289,2879170,5,102.09212725742852,0
3.0,2.0,99,-23.6088716,-46.6583813,1296650,1,93.19784054171579,0
4.0,3.0,208,-23.5982247,-46.6035401,1305240,5,41.0,1
1.0,2.0,46,-23.5465714,-46.6921247,643046,2,37.02996824194636,0
2.0,1.0,85,-23.6030419,-46.6315817,673856,4,9.0,1
3.0,2.0,94,-23.5616697,-46.5813702,791592,1,19.0,1
3.0,1.0,105,-23.6020003,-46.6693355,1180230,5,118.86539065226079,0
1.0,1.0,52,-23.611516,-46.6928988,709173,2,44.28461534661225,0
2.0,1.0,78,-23.5000445,-46.617711,746443,1,55.23747284360259,0
3.0,3.0,142,-23.6345426,-46.7258479,1147490,4,131.0,1
2.0,1.0,90,-23.5329571,-46.6744636,837118,2,133.0,1
2.0,1.0,78,-23.5638064,-46.662044,1033770,5,83.39952347314615,0
3.0,4.0,300,-23.585134,-46.632858,3181930,3,305.8826803869169,0
3.0,1.0,110,-23.601605,-46.6702246,1043120,1,46.9989155211472,0
2.0,1.0,48,-23.6083869,-46.6298825,437162,3,85.0,1
2.0,2.0,92,-23.5533001,-46.6771237,1324870,1,22.0,1
3.0,2.0,101,-23.5761086,-46.6462769,1457560,2,269.3211293684025,0
4.0,2.0,140,-23.5660955,-46.6598903,1777300,1,7.926623755547939,0
3.0,2.0,86,-23.557134,-46.5979929,674382,4,6.737525174824239,0
2.0,1.0,65,-23.50414,-46.6619784,481715,1,131.0,1
4.0,3.0,302,-23.5448204,-46.6533502,3532380,3,151.5253994865013,0
4.0,4.0,180,-23.5311077,-46.6910158,1648250,3,126.0,1
2.0,2.0,120,-23.5823574,-46.6765956,1750260,3,160.0,1
2.0,1.0,61,-23.4984597,-46.6363498,583757,3,289.72877862341176,0
4.0,1.0,210,-23.5480818,-46.6542883,2353340,3,250.0,1
3.0,3.0,126,-23.614871,-46.6332248,1321310,4,37.387046850710355,0
4.0,3.0,186,-23.6330678,-46.7061112,2009090,3,289.829549731416,0
4.0,3.0,255,-23.5491834,-46.5956555,1815010,5,135.0,1
1.0,1.0,45,-23.5650107,-46.6839202,430019,4,79.0,1
4.0,3.0,184,-23.6199906,-46.7372573,2192960,5,60.0,1
4.0,4.0,171,-23.529122,-46.704905,1263360,1,95.0,1
3.0,2.0,109,-23.6320732,-46.6616422,934612,2,96.0,1
2.0,2.0,76,-23.5330178,-46.6757714,878005,2,50.0,1
1.0,1.0,50,-23.6257774,-46.6937115,389770,4,96.7822462490485,0
3.0,1.0,116,-23.574938,-46.6434491,982411,3,14.875539075991053,0
4.0,4.0,200,-23.628344,-46.7236918,1694600,5,8.0,1
3.0,1.0,198,-23.5671479,-46.6546553,1983640,4,312.3336277139669,0
3.0,3.0,130,-23.6218415,-46.7334115,817233,1,25.0,1
3.0,2.0,110,-23.5332826,-46.6924672,1220580,5,29.409448365554262,0
3.0,2.0,123,-23.5836215,-46.6289314,1346310,5,78.51894851546045,0
2.0,1.0,51,-23.626816,-46.604983,249540,3,18.0,1
3.0,1.0,110,-23.5482841,-46.6554304,1232700,5,81.02372430213968,0
4.0,3.0,180,-23.6241001,-46.7357083,845572,1,93.0,1
3.0,2.0,100,-23.5631789,-46.6966054,1190730,2,171.0,1
3.0,1.0,120,-23.5460855,-46.6530436,1175570,3,27.0,1
2.0,1.0,90,-23.5687196,-46.6457724,822583,5,47.96564875002754,0
3.0,1.0,240,-23.5636939,-46.6694451,3224430,3,286.25016721724637,0
4.0,4.0,159,-23.6290649,-46.6925819,1740370,5,259.8299028443971,0
2.0,1.0,70,-23.6038567,-46.6758102,776070,2,115.2422734661818,0
4.0,3.0,231,-23.569209,-46.6326173,2544060,5,161.75982014074955,0
4.0,4.0,371,-23.546636,-46.6872753,4935690,5,329.48643275856637,0
4.0,3.0,293,-23.6066972,-46.7048671,2380980,4,262.5581800610612,0
4.0,2.0,156,-23.5915457,-46.6691124,2018960,5,64.06238763953313,0
3.0,1.0,138,-23.5332783,-46.6691315,1283580,4,112.84209721256008,0
2.0,1.0,60,-23.6265677,-46.6339294,595219,2,45.0170752240509,0
2.0,2.0,69,-23.6324475,-46.7389441,468473,5,76.21068399825958,0
3.0,1.0,119,-23.5650789,-46.6559496,1389270,3,61.0,1
4.0,3.0,190,-23.6013,-46.6677156,2730360,2,157.2453627117512,0
3.0,1.0,76,-23.6114844,-46.7340657,382698,2,12.363842733227939,0
2.0,1.0,85,-23.5530115,-46.6567747,643933,3,58.0,1
2.0,1.0,65,-23.6089741,-46.6402172,475190,3,94.0,1
2.0,1.0,115,-23.5681833,-46.66124,1136450,1,54.461585036453755,0
3.0,4.0,249,-23.5614117,-46.6890433,3612990,3,348.2073648236634,0
